Detector;Year;Doctype;Publisher;Venue;Title;Citations;Altmetric;All Tips;Tortured Phrases;Assessor;PubPeer Users
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 International Conference on Artificial Intelligence and Smart Systems (ICAIS);Effective Prediction of Heart Disease Using Data Mining and Machine Learning: A Review;2;0;11;affiliation rule mining • back likelihood • coronary illness • exactness, review • grouping methods • hereditary calculation • information mining • preparing and testing • prescient capacity • yield layers • yield layer AND neural;Invitation for human assessors;–
tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 International Conference on Emerging Smart Computing and Informatics (ESCI);Design and Simulation of Loan Approval Prediction Model using AWS Platform;1;0;11;AI calculation • calculated relapse • choice tree • common language preparing • information mining • informational collection • pre-handling • preparing information • preparing set • strategic relapse • preparing information AND (training set OR training dataset);Cabanac;Ross C. P. Mounce
suspect, tortured;2020;article;Elsevier;Journal of Ocean Engineering and Science;Mathematical modelling and analysis of plastic waste pollution and its impact on the ocean surface;14;2;11;Fourier change • as pursues • carbon emanation • monetary development • ozone harming substance • populace thickness • untamed life • differential condition AND second request;Cabanac;N. H. Wise
suspect, tortured;2020;article;IOP Publishing;IOP Conference Series Materials Science and Engineering;Analogous Approach towards Performance Analysis for Software Defect Prediction and Prioritization;6;0;11;AI calculation • ROC twist • arbitrary woodland • backing vector machine • backslide model • help vector machine • informational collection • irregular woodland • twofold request;Cabanac;Elisabeth M Bik, Research Integrity
tortured;2020;article;IOP Publishing;IOP Conference Series Materials Science and Engineering;Detecting Faults within a Cloud Using Machine Learning Techniques;1;0;11;AI calculation • aid vector machine • arbitrary woods • elite figuring • half-breed approach • help vector machine • hereditary calculation • information mining • neural organization • prescient capacity • random backwoods;Cabanac;N. H. Wise
tortured;2020;article;Elsevier;Microprocessors and Microsystems;Image Processing System based on FPGA and Convolutional Neural Network;7;0;11;PC vision • commotion decrease • far off detecting • info information • info picture • neural organization • picture division • picture handling strategies • picture handling • picture preparing • shading pictures;Cabanac;Atlantitermes Oculatissimus, Guillaume Cabanac
clayFeet, suspect, tortured;2020;article;Elsevier;Microprocessors and Microsystems;Centralized Management System of Intelligent Inspection Robot Based on Wireless Sensor;2;0;11;enlarged reality • face acknowledgment • fluffy rationale • human-made consciousness • informational collection • informational index • neural organization • repetitive neural organizations • brilliant AND keen AND savvy AND shrewd;Cabanac;Rhipidura Albiventris, Guillaume Cabanac, Lysionotus Apicidens
tortured;2020;article;Elsevier;Microprocessors and Microsystems;Risk Prediction of Financial Insurance Based on FPGA and Neural Network;3;0;11;back proliferation • concealed layer • enactment capacities • fake neural • loads and inclinations • man-made consciousness • man-made reasoning • neural organization • prescient error • self sorting out • strategic relapse;Invitation for human assessors;–
suspect, tortured;2020;article;Elsevier;Microprocessors and Microsystems;RETRACTED > Urban Garden Landscape Design Based on VR Technology and Internet of Things System;4;0;11;dimensionality decrease • extricates highlights • far off detecting • hyper ghastly • k-implies grouping • move learning • picture preparing • randomized controlled preliminary • warm solace;Cabanac;Guillaume Cabanac
clayFeet, tortured;2020;article;Wiley;Heat Transfer;Simultaneous effects of radiation, magnetic field on peristaltic flow of Carreau nanofluid submerged in gyrotactic microorganisms with heat and mass transfer;4;0;11;Joule warming • concoction response • heat move • limit layer • warm conductivity • warm radiation • warmth exchanger • warmth move • synthetic response AND (be that as it OR on the off chance) • differential condition AND second request;Magazinov;Alexander Magazinov
suspect, tortured;2020;article;De Gruyter;Malaysian Journal of Halal Research;Impact of Supplanting of Flour with Mushroom Powder on Nutritional Composition and Sensory Attributes of Cookies;0;0;11;ascorbic corrosive • folic corrosive • insusceptible framework • invulnerable framework • nourishment handling • resistant framework • test arrangement;Cabanac;N. H. Wise
tortured;2020;article;Elsevier;Procedia Computer Science;Modified LDA Approach For Cluster Based Gene Classification Using K-Mean Method;6;0;11;Euclidean separation • administered learning • bosom disease • bosom malignancy • bosom malignant • distinguishing proof • driving reason • help vector machine • lymph hub • preparation information • ribonucleic corrosive;Invitation for human assessors;–
